PC;PMg;PP;PS;Psi;Pti;PNb;PCr;PBr;Pal;PV;Pcu;PCl;Pni;Pmo;Pn;Dureza
235;1.23;21;0.0079;0.1;11;5;0.04;0.0004;42;5;0.03;0.0032;0.05;15;4;311
242;1.22;14;0.0047;0.1;11;11;0.02;0.0005;41;2;0.01;0.0024;0.02;6;8;302
234;1.24;19;0.0058;0.1;11;1;0.04;0.0005;44;4;0.02;0.0017;0.03;0.01;0.0048;321
252;1.25;16;7;101;13;4;0.03;0.0004;41;6;0.03;0.0035;0.03;15;0.0055;321
227;1.28;23;0.0072;103;12;5;0.04;0.0004;33;8;0.02;0.0022;0.04;15;0.0046;293
241;1.26;17;8;104;11;4;0.02;0.0004;45;5;0.03;0.0022;0.03;0.01;0.0059;302
245;1.25;12;0.0044;105;13;12;0.02;0.0003;0.04;3;0.02;0.0022;0.02;7;0.0055;302
232;1.26;16;5;106;11;3;0.03;0.0005;35;5;0.02;0.0038;0.03;11;0.0036;311
246;1.28;17;0.0077;106;13;6;0.03;0.0004;38;6;0.02;2;0.03;0.01;5;311
239;1.25;18;8;109;14;4;0.05;0.0005;43;6;0.02;0.0035;0.04;15;0.0046;293
247;1.27;18;0.0064;0.11;12;1;0.02;0.0002;35;3;0.02;0.0025;0.02;5;0.0045;321
232;1.21;16;8;111;11;4;0.03;0.0003;31;5;0.11;0.0023;0.04;0.01;0.0056;293
232;1.21;16;8;111;11;4;0.03;0.0003;31;5;0.11;0.0023;0.04;0.01;0.0056;302
0.23;1.26;12;0.0065;112;9;2;0.02;0.0003;37;3;0.01;0.0029;0.03;5;0.0057;293
243;1.27;15;8;112;9;1;0.03;0.0004;39;3;0.03;0.0019;0.03;7;0.0058;286
251;1.33;14;0.0039;113;14;1;0.04;0.0002;36;3;0.03;0.0024;0.03;15;0.0056;302
237;1.24;13;0.0049;113;11;0.01;0.03;0.0004;25;4;0.03;2;0.03;8;0.0057;302
235;1.26;15;0.0061;113;13;1;0.02;0.0005;46;2;0.02;0.0017;0.03;12;0.0059;293
